Estado,Sorteo,Fecha,Venta_Estado,ID
Tamaulipas,TRADICIONAL 206,2018/12/22 00:00:00,22739.42380952381,28
Veracruz de Ignacio de la Llave,TRADICIONAL 206,2018/12/22 00:00:00,3981.383523809524,30
Yucatan,TRADICIONAL 206,2018/12/22 00:00:00,1860.104761904762,31
Zacatecas,TRADICIONAL 206,2018/12/22 00:00:00,3291.4857142857145,32
Oficina Virtual,TRADICIONAL 206,2018/12/22 00:00:00,18332,33
Aguascalientes,TRADICIONAL 207,2019/06/22 00:00:00,2477.4,1
Baja California,TRADICIONAL 207,2019/06/22 00:00:00,3967.8333333333335,2
Baja California Sur,TRADICIONAL 207,2019/06/22 00:00:00,3370.5904761904762,3
Coahuila de Zaragoza,TRADICIONAL 207,2019/06/22 00:00:00,12731.814285714285,5
Colima,TRADICIONAL 207,2019/06/22 00:00:00,3713.9523809523807,6
Chiapas,TRADICIONAL 207,2019/06/22 00:00:00,0,7
Chihuahua,TRADICIONAL 207,2019/06/22 00:00:00,7949.828571428571,8
Durango,TRADICIONAL 207,2019/06/22 00:00:00,2376,10
Guanajuato,TRADICIONAL 207,2019/06/22 00:00:00,4158.219047619048,11
Guerrero,TRADICIONAL 207,2019/06/22 00:00:00,737.8857142857142,12
Hidalgo,TRADICIONAL 207,2019/06/22 00:00:00,0,13
Jalisco,TRADICIONAL 207,2019/06/22 00:00:00,17347.442857142858,14
Mexico,TRADICIONAL 207,2019/06/22 00:00:00,13706.790476190476,15
Michoacan de Ocampo,TRADICIONAL 207,2019/06/22 00:00:00,4228.633333333333,16
Morelos,TRADICIONAL 207,2019/06/22 00:00:00,1378.6,17
Nayarit,TRADICIONAL 207,2019/06/22 00:00:00,3296.3809523809523,18
Nuevo Leon,TRADICIONAL 207,2019/06/22 00:00:00,69715.38571428572,19
Oaxaca,TRADICIONAL 207,2019/06/22 00:00:00,0,20
Puebla,TRADICIONAL 207,2019/06/22 00:00:00,3482.4,21
Queretaro,TRADICIONAL 207,2019/06/22 00:00:00,6539.661904761904,22
Quintana Roo,TRADICIONAL 207,2019/06/22 00:00:00,1059.6571428571428,23
San Luis Potosi,TRADICIONAL 207,2019/06/22 00:00:00,3192.609523809524,24
Sinaloa,TRADICIONAL 207,2019/06/22 00:00:00,12428.666666666666,25
Sonora,TRADICIONAL 207,2019/06/22 00:00:00,10800.438095238096,26
Tabasco,TRADICIONAL 207,2019/06/22 00:00:00,5931.371238095238,27
Tamaulipas,TRADICIONAL 207,2019/06/22 00:00:00,17970.219047619048,28
Veracruz de Ignacio de la Llave,TRADICIONAL 207,2019/06/22 00:00:00,3525.3244285714286,30
Yucatan,TRADICIONAL 207,2019/06/22 00:00:00,1632.4952380952382,31
Zacatecas,TRADICIONAL 207,2019/06/22 00:00:00,2414.2238095238095,32
Oficina Virtual,TRADICIONAL 207,2019/06/22 00:00:00,24855,33
Aguascalientes,TRADICIONAL 208,2019/12/21 00:00:00,2745,1
Baja California,TRADICIONAL 208,2019/12/21 00:00:00,3461,2
Baja California Sur,TRADICIONAL 208,2019/12/21 00:00:00,3595,3
Coahuila de Zaragoza,TRADICIONAL 208,2019/12/21 00:00:00,14547,5
Colima,TRADICIONAL 208,2019/12/21 00:00:00,3916,6
Chiapas,TRADICIONAL 208,2019/12/21 00:00:00,0,7
Chihuahua,TRADICIONAL 208,2019/12/21 00:00:00,8450,8
Durango,TRADICIONAL 208,2019/12/21 00:00:00,2657,10
Guanajuato,TRADICIONAL 208,2019/12/21 00:00:00,4585,11
Guerrero,TRADICIONAL 208,2019/12/21 00:00:00,602,12
Hidalgo,TRADICIONAL 208,2019/12/21 00:00:00,0,13
Jalisco,TRADICIONAL 208,2019/12/21 00:00:00,18194,14
Mexico,TRADICIONAL 208,2019/12/21 00:00:00,12951,15
Michoacan de Ocampo,TRADICIONAL 208,2019/12/21 00:00:00,4536,16
Morelos,TRADICIONAL 208,2019/12/21 00:00:00,1485,17
Nayarit,TRADICIONAL 208,2019/12/21 00:00:00,3553,18
Nuevo Leon,TRADICIONAL 208,2019/12/21 00:00:00,75370,19
Oaxaca,TRADICIONAL 208,2019/12/21 00:00:00,0,20
Puebla,TRADICIONAL 208,2019/12/21 00:00:00,4322,21
Queretaro,TRADICIONAL 208,2019/12/21 00:00:00,7238,22
Quintana Roo,TRADICIONAL 208,2019/12/21 00:00:00,1010,23
San Luis Potosi,TRADICIONAL 208,2019/12/21 00:00:00,3398,24
Sinaloa,TRADICIONAL 208,2019/12/21 00:00:00,13779,25
Sonora,TRADICIONAL 208,2019/12/21 00:00:00,11124,26
Tabasco,TRADICIONAL 208,2019/12/21 00:00:00,6929,27
Tamaulipas,TRADICIONAL 208,2019/12/21 00:00:00,21130,28
Veracruz de Ignacio de la Llave,TRADICIONAL 208,2019/12/21 00:00:00,3538,30
Yucatan,TRADICIONAL 208,2019/12/21 00:00:00,1695,31
Zacatecas,TRADICIONAL 208,2019/12/21 00:00:00,2531,32
Oficina Virtual,TRADICIONAL 208,2019/12/21 00:00:00,26568,33
